,Condition,Drug,DrugClass,Filename,Plate,Well
1565,Dmso0.0,Dmso,Inactive,Week6_31641/Inactive/Dmso/FL_Week6_31641_F11_0.png,Week6_31641,F11
1566,Lactacystin0.01,Lactacystin,Inactive,Week6_31641/Inactive/Lactacystin/FL_Week6_31641_B09_0.png,Week6_31641,B09
1567,Dmso0.0,Dmso,Inactive,Week6_31641/Inactive/Dmso/FL_Week6_31641_G11_0.png,Week6_31641,G11
1568,Hydroxyurea3.0,Hydroxyurea,Inactive,Week6_31641/Inactive/Hydroxyurea/FL_Week6_31641_D08_0.png,Week6_31641,D08
1569,Bleomycin50.0,Bleomycin,Unknown,Week6_31641/Unknown/Bleomycin/FL_Week6_31641_E03_0.png,Week6_31641,E03
1570,Sp6001250.15,Sp600125,Inactive,Week6_31641/Inactive/Sp600125/FL_Week6_31641_C08_0.png,Week6_31641,C08
1571,Sp60012515.0,Sp600125,Unknown,Week6_31641/Unknown/Sp600125/FL_Week6_31641_C04_0.png,Week6_31641,C04
1572,Sodiumfluoride0.5,Sodiumfluoride,Inactive,Week6_31641/Inactive/Sodiumfluoride/FL_Week6_31641_G09_0.png,Week6_31641,G09
1573,Sp6001250.015,Sp600125,Inactive,Week6_31641/Inactive/Sp600125/FL_Week6_31641_C10_0.png,Week6_31641,C10
1574,Sodiumfluoride5.0,Sodiumfluoride,Inactive,Week6_31641/Inactive/Sodiumfluoride/FL_Week6_31641_G07_0.png,Week6_31641,G07
1575,Dmso0.0,Dmso,Inactive,Week6_31641/Inactive/Dmso/FL_Week6_31641_B02_0.png,Week6_31641,B02
1576,Bleomycin1.5,Bleomycin,Inactive,Week6_31641/Inactive/Bleomycin/FL_Week6_31641_E06_0.png,Week6_31641,E06
1577,TSA0.03,TSA,Inactive,Week6_31641/Inactive/TSA/FL_Week6_31641_F06_0.png,Week6_31641,F06
1578,TSA0.0003,TSA,Inactive,Week6_31641/Inactive/TSA/FL_Week6_31641_F10_0.png,Week6_31641,F10
1579,Sodiumfluoride150.0,Sodiumfluoride,Inactive,Week6_31641/Inactive/Sodiumfluoride/FL_Week6_31641_G04_0.png,Week6_31641,G04
1580,Hydroxyurea30.0,Hydroxyurea,Inactive,Week6_31641/Inactive/Hydroxyurea/FL_Week6_31641_D06_0.png,Week6_31641,D06
1581,Lactacystin0.003,Lactacystin,Inactive,Week6_31641/Inactive/Lactacystin/FL_Week6_31641_B10_0.png,Week6_31641,B10
1582,Taxol0.3,Taxol,MT,Week6_31641/MT/Taxol/FL_Week6_31641_F02_0.png,Week6_31641,F02
1583,Sp6001250.05,Sp600125,Inactive,Week6_31641/Inactive/Sp600125/FL_Week6_31641_C09_0.png,Week6_31641,C09
1584,Sp6001251.5,Sp600125,Inactive,Week6_31641/Inactive/Sp600125/FL_Week6_31641_C06_0.png,Week6_31641,C06
1585,Taxol0.3,Taxol,MT,Week6_31641/MT/Taxol/FL_Week6_31641_G02_0.png,Week6_31641,G02
1586,Sodiumfluoride0.15,Sodiumfluoride,Inactive,Week6_31641/Inactive/Sodiumfluoride/FL_Week6_31641_G10_0.png,Week6_31641,G10
1587,Bleomycin5.0,Bleomycin,Unknown,Week6_31641/Unknown/Bleomycin/FL_Week6_31641_E05_0.png,Week6_31641,E05
1588,Lactacystin10.0,Lactacystin,Proteasome,Week6_31641/Proteasome/Lactacystin/FL_Week6_31641_B03_0.png,Week6_31641,B03
1589,Bleomycin0.05,Bleomycin,Inactive,Week6_31641/Inactive/Bleomycin/FL_Week6_31641_E09_0.png,Week6_31641,E09
1590,Taxol0.3,Taxol,MT,Week6_31641/MT/Taxol/FL_Week6_31641_C11_0.png,Week6_31641,C11
1591,Dmso0.0,Dmso,Inactive,Week6_31641/Inactive/Dmso/FL_Week6_31641_D02_0.png,Week6_31641,D02
1592,Dmso0.0,Dmso,Inactive,Week6_31641/Inactive/Dmso/FL_Week6_31641_C02_0.png,Week6_31641,C02
1593,Dmso0.0,Dmso,Inactive,Week1_22161/Inactive/Dmso/FL_Week1_22161_E11_0.png,Week1_22161,E11
1594,Aza0.1,Aza,Aurora,Week1_22161/Aurorakinaseinhibitor/Aza/FL_Week1_22161_G08_0.png,Week1_22161,G08
1595,Azh0.3,Azh,Inactive,Week1_22161/Inactive/Azh/FL_Week1_22161_F07_0.png,Week1_22161,F07
1596,Aza3.0,Aza,Aurora,Week1_22161/Aurorakinaseinhibitor/Aza/FL_Week1_22161_G05_0.png,Week1_22161,G05
1597,Azh0.1,Azh,Inactive,Week1_22161/Inactive/Azh/FL_Week1_22161_F08_0.png,Week1_22161,F08
1598,Nocodazole0.01,Nocodazole,Inactive,Week1_22161/Inactive/Nocodazole/FL_Week1_22161_E08_0.png,Week1_22161,E08
1599,Azh3.0,Azh,Inactive,Week1_22161/Inactive/Azh/FL_Week1_22161_F05_0.png,Week1_22161,F05
1600,Taxol0.3,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_D11_0.png,Week1_22161,D11
1601,Cytochalasinb1.0,Cytochalasinb,Inactive,Week1_22161/Inactive/Cytochalasinb/FL_Week1_22161_B06_0.png,Week1_22161,B06
1602,Taxol0.3,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_D05_0.png,Week1_22161,D05
1603,Aza30.0,Aza,Aurora,Week1_22161/Aurorakinaseinhibitor/Aza/FL_Week1_22161_G03_0.png,Week1_22161,G03
1604,Nocodazole0.03,Nocodazole,MT,Week1_22161/MT/Nocodazole/FL_Week1_22161_E07_0.png,Week1_22161,E07
1605,Aphidicolin0.1,Aphidicolin,Inactive,Week1_22161/Inactive/Aphidicolin/FL_Week1_22161_C07_0.png,Week1_22161,C07
1606,Aphidicolin1.0,Aphidicolin,DNA,Week1_22161/DNA/Aphidicolin/FL_Week1_22161_C05_0.png,Week1_22161,C05
1607,Taxol0.03,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_D07_0.png,Week1_22161,D07
1608,Cytochalasinb0.1,Cytochalasinb,Inactive,Week1_22161/Inactive/Cytochalasinb/FL_Week1_22161_B08_0.png,Week1_22161,B08
1609,Nocodazole1.0,Nocodazole,MT,Week1_22161/MT/Nocodazole/FL_Week1_22161_E04_0.png,Week1_22161,E04
1610,Aza1.0,Aza,Aurora,Week1_22161/Aurorakinaseinhibitor/Aza/FL_Week1_22161_G06_0.png,Week1_22161,G06
1611,Nocodazole0.001,Nocodazole,Inactive,Week1_22161/Inactive/Nocodazole/FL_Week1_22161_E10_0.png,Week1_22161,E10
1612,Cytochalasinb0.3,Cytochalasinb,Inactive,Week1_22161/Inactive/Cytochalasinb/FL_Week1_22161_B07_0.png,Week1_22161,B07
1613,Aphidicolin10.0,Aphidicolin,DNA,Week1_22161/DNA/Aphidicolin/FL_Week1_22161_C03_0.png,Week1_22161,C03
1614,Taxol3.0,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_D03_0.png,Week1_22161,D03
1615,Azh30.0,Azh,Inactive,Week1_22161/Inactive/Azh/FL_Week1_22161_F03_0.png,Week1_22161,F03
1616,Taxol0.003,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_D09_0.png,Week1_22161,D09
1617,Azh10.0,Azh,Inactive,Week1_22161/Inactive/Azh/FL_Week1_22161_F04_0.png,Week1_22161,F04
1618,Taxol1.0,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_D04_0.png,Week1_22161,D04
1619,Cytochalasinb10.0,Cytochalasinb,Actin,Week1_22161/Actin/Cytochalasinb/FL_Week1_22161_B04_0.png,Week1_22161,B04
1620,Azh0.03,Azh,Inactive,Week1_22161/Inactive/Azh/FL_Week1_22161_F09_0.png,Week1_22161,F09
1621,Dmso0.0,Dmso,Inactive,Week1_22161/Inactive/Dmso/FL_Week1_22161_F11_0.png,Week1_22161,F11
1622,Cytochalasinb0.03,Cytochalasinb,Inactive,Week1_22161/Inactive/Cytochalasinb/FL_Week1_22161_B09_0.png,Week1_22161,B09
1623,Dmso0.0,Dmso,Inactive,Week1_22161/Inactive/Dmso/FL_Week1_22161_G11_0.png,Week1_22161,G11
1624,Taxol0.01,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_D08_0.png,Week1_22161,D08
1625,Nocodazole3.0,Nocodazole,MT,Week1_22161/MT/Nocodazole/FL_Week1_22161_E03_0.png,Week1_22161,E03
1626,Cytochalasinb3.0,Cytochalasinb,Actin,Week1_22161/Actin/Cytochalasinb/FL_Week1_22161_B05_0.png,Week1_22161,B05
1627,Aphidicolin0.03,Aphidicolin,Inactive,Week1_22161/Inactive/Aphidicolin/FL_Week1_22161_C08_0.png,Week1_22161,C08
1628,Aphidicolin3.0,Aphidicolin,DNA,Week1_22161/DNA/Aphidicolin/FL_Week1_22161_C04_0.png,Week1_22161,C04
1629,Aza0.03,Aza,Aurora,Week1_22161/Aurorakinaseinhibitor/Aza/FL_Week1_22161_G09_0.png,Week1_22161,G09
1630,Taxol0.3,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_B11_0.png,Week1_22161,B11
1631,Aphidicolin0.003,Aphidicolin,Inactive,Week1_22161/Inactive/Aphidicolin/FL_Week1_22161_C10_0.png,Week1_22161,C10
1632,Aza0.3,Aza,Aurora,Week1_22161/Aurorakinaseinhibitor/Aza/FL_Week1_22161_G07_0.png,Week1_22161,G07
1633,Dmso0.0,Dmso,Inactive,Week1_22161/Inactive/Dmso/FL_Week1_22161_B02_0.png,Week1_22161,B02
1634,Nocodazole0.1,Nocodazole,MT,Week1_22161/MT/Nocodazole/FL_Week1_22161_E06_0.png,Week1_22161,E06
1635,Azh1.0,Azh,Inactive,Week1_22161/Inactive/Azh/FL_Week1_22161_F06_0.png,Week1_22161,F06
1636,Azh0.01,Azh,Inactive,Week1_22161/Inactive/Azh/FL_Week1_22161_F10_0.png,Week1_22161,F10
1637,Aza10.0,Aza,Aurora,Week1_22161/Aurorakinaseinhibitor/Aza/FL_Week1_22161_G04_0.png,Week1_22161,G04
1638,Taxol0.1,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_D06_0.png,Week1_22161,D06
1639,Cytochalasinb0.01,Cytochalasinb,Inactive,Week1_22161/Inactive/Cytochalasinb/FL_Week1_22161_B10_0.png,Week1_22161,B10
1640,Taxol0.3,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_F02_0.png,Week1_22161,F02
1641,Aphidicolin0.01,Aphidicolin,Inactive,Week1_22161/Inactive/Aphidicolin/FL_Week1_22161_C09_0.png,Week1_22161,C09
1642,Aphidicolin0.3,Aphidicolin,Inactive,Week1_22161/Inactive/Aphidicolin/FL_Week1_22161_C06_0.png,Week1_22161,C06
1643,Taxol0.3,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_G02_0.png,Week1_22161,G02
1644,Taxol0.3,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_E02_0.png,Week1_22161,E02
1645,Aza0.01,Aza,Aurora,Week1_22161/Aurorakinaseinhibitor/Aza/FL_Week1_22161_G10_0.png,Week1_22161,G10
1646,Nocodazole0.3,Nocodazole,MT,Week1_22161/MT/Nocodazole/FL_Week1_22161_E05_0.png,Week1_22161,E05
1647,Cytochalasinb30.0,Cytochalasinb,Actin,Week1_22161/Actin/Cytochalasinb/FL_Week1_22161_B03_0.png,Week1_22161,B03
1648,Nocodazole0.003,Nocodazole,Inactive,Week1_22161/Inactive/Nocodazole/FL_Week1_22161_E09_0.png,Week1_22161,E09
1649,Taxol0.3,Taxol,MT,Week1_22161/MT/Taxol/FL_Week1_22161_C11_0.png,Week1_22161,C11
1650,Dmso0.0,Dmso,Inactive,Week1_22161/Inactive/Dmso/FL_Week1_22161_D02_0.png,Week1_22161,D02
1651,Dmso0.0,Dmso,Inactive,Week1_22161/Inactive/Dmso/FL_Week1_22161_C02_0.png,Week1_22161,C02
1652,Dmso0.0,Dmso,Inactive,Week2_24141/Inactive/Dmso/FL_Week2_24141_E11_0.png,Week2_24141,E11
1653,Methotrexate0.03,Methotrexate,Inactive,Week2_24141/Inactive/Methotrexate/FL_Week2_24141_G08_0.png,Week2_24141,G08
1654,Genistein1.0,Genistein,Inactive,Week2_24141/Inactive/Genistein/FL_Week2_24141_F07_0.png,Week2_24141,F07
1655,Methotrexate1.0,Methotrexate,Inactive,Week2_24141/Inactive/Methotrexate/FL_Week2_24141_G05_0.png,Week2_24141,G05
1656,Genistein0.3,Genistein,Inactive,Week2_24141/Inactive/Genistein/FL_Week2_24141_F08_0.png,Week2_24141,F08
1657,Rapamycin0.03,Rapamycin,Inactive,Week2_24141/Inactive/Rapamycin/FL_Week2_24141_E08_0.png,Week2_24141,E08
1658,Genistein10.0,Genistein,Inactive,Week2_24141/Inactive/Genistein/FL_Week2_24141_F05_0.png,Week2_24141,F05
1659,Taxol0.3,Taxol,MT,Week2_24141/MT/Taxol/FL_Week2_24141_D11_0.png,Week2_24141,D11
1660,CytD0.3,CytD,Actin,Week2_24141/Actin/CytD/FL_Week2_24141_B06_0.png,Week2_24141,B06
1661,Alln10.0,Alln,Inactive,Week2_24141/Inactive/Alln/FL_Week2_24141_D05_0.png,Week2_24141,D05
1662,Methotrexate10.0,Methotrexate,Inactive,Week2_24141/Inactive/Methotrexate/FL_Week2_24141_G03_0.png,Week2_24141,G03
1663,Rapamycin0.1,Rapamycin,Inactive,Week2_24141/Inactive/Rapamycin/FL_Week2_24141_E07_0.png,Week2_24141,E07
1664,Vinblastine0.1,Vinblastine,MT,Week2_24141/MT/Vinblastine/FL_Week2_24141_C07_0.png,Week2_24141,C07
1665,Vinblastine1.0,Vinblastine,MT,Week2_24141/MT/Vinblastine/FL_Week2_24141_C05_0.png,Week2_24141,C05
1666,Alln1.0,Alln,Inactive,Week2_24141/Inactive/Alln/FL_Week2_24141_D07_0.png,Week2_24141,D07
1667,CytD0.03,CytD,Actin,Week2_24141/Actin/CytD/FL_Week2_24141_B08_0.png,Week2_24141,B08
1668,Rapamycin3.0,Rapamycin,Inactive,Week2_24141/Inactive/Rapamycin/FL_Week2_24141_E04_0.png,Week2_24141,E04
1669,Methotrexate0.3,Methotrexate,Inactive,Week2_24141/Inactive/Methotrexate/FL_Week2_24141_G06_0.png,Week2_24141,G06
1670,Rapamycin0.003,Rapamycin,Inactive,Week2_24141/Inactive/Rapamycin/FL_Week2_24141_E10_0.png,Week2_24141,E10
1671,CytD0.1,CytD,Actin,Week2_24141/Actin/CytD/FL_Week2_24141_B07_0.png,Week2_24141,B07
1672,Vinblastine10.0,Vinblastine,MT,Week2_24141/MT/Vinblastine/FL_Week2_24141_C03_0.png,Week2_24141,C03
1673,Alln100.0,Alln,Proteasome,Week2_24141/Proteasome/Alln/FL_Week2_24141_D03_0.png,Week2_24141,D03
1674,Genistein100.0,Genistein,Kinase,Week2_24141/Kinase/Genistein/FL_Week2_24141_F03_0.png,Week2_24141,F03
1675,Alln0.1,Alln,Inactive,Week2_24141/Inactive/Alln/FL_Week2_24141_D09_0.png,Week2_24141,D09
1676,Genistein30.0,Genistein,Kinase,Week2_24141/Kinase/Genistein/FL_Week2_24141_F04_0.png,Week2_24141,F04
1677,Alln30.0,Alln,Proteasome,Week2_24141/Proteasome/Alln/FL_Week2_24141_D04_0.png,Week2_24141,D04
1678,CytD3.0,CytD,Actin,Week2_24141/Actin/CytD/FL_Week2_24141_B04_0.png,Week2_24141,B04
1679,Alln0.03,Alln,Inactive,Week2_24141/Inactive/Alln/FL_Week2_24141_D10_0.png,Week2_24141,D10
1680,Genistein0.1,Genistein,Inactive,Week2_24141/Inactive/Genistein/FL_Week2_24141_F09_0.png,Week2_24141,F09
1681,Dmso0.0,Dmso,Inactive,Week2_24141/Inactive/Dmso/FL_Week2_24141_F11_0.png,Week2_24141,F11
1682,CytD0.01,CytD,Inactive,Week2_24141/Inactive/CytD/FL_Week2_24141_B09_0.png,Week2_24141,B09
1683,Dmso0.0,Dmso,Inactive,Week2_24141/Inactive/Dmso/FL_Week2_24141_G11_0.png,Week2_24141,G11
1684,Alln0.3,Alln,Inactive,Week2_24141/Inactive/Alln/FL_Week2_24141_D08_0.png,Week2_24141,D08
1685,Rapamycin10.0,Rapamycin,Inactive,Week2_24141/Inactive/Rapamycin/FL_Week2_24141_E03_0.png,Week2_24141,E03
1686,CytD1.0,CytD,Actin,Week2_24141/Actin/CytD/FL_Week2_24141_B05_0.png,Week2_24141,B05
1687,Vinblastine0.03,Vinblastine,MT,Week2_24141/MT/Vinblastine/FL_Week2_24141_C08_0.png,Week2_24141,C08
1688,Vinblastine3.0,Vinblastine,MT,Week2_24141/MT/Vinblastine/FL_Week2_24141_C04_0.png,Week2_24141,C04
1689,Methotrexate0.01,Methotrexate,Inactive,Week2_24141/Inactive/Methotrexate/FL_Week2_24141_G09_0.png,Week2_24141,G09
1690,Taxol0.3,Taxol,MT,Week2_24141/MT/Taxol/FL_Week2_24141_B11_0.png,Week2_24141,B11
1691,Vinblastine0.003,Vinblastine,MT,Week2_24141/MT/Vinblastine/FL_Week2_24141_C10_0.png,Week2_24141,C10
1692,Methotrexate0.1,Methotrexate,DNA,Week2_24141/DNA/Methotrexate/FL_Week2_24141_G07_0.png,Week2_24141,G07
1693,Dmso0.0,Dmso,Inactive,Week2_24141/Inactive/Dmso/FL_Week2_24141_B02_0.png,Week2_24141,B02
1694,Rapamycin0.3,Rapamycin,Inactive,Week2_24141/Inactive/Rapamycin/FL_Week2_24141_E06_0.png,Week2_24141,E06
1695,Genistein3.0,Genistein,Inactive,Week2_24141/Inactive/Genistein/FL_Week2_24141_F06_0.png,Week2_24141,F06
1696,Genistein0.03,Genistein,Inactive,Week2_24141/Inactive/Genistein/FL_Week2_24141_F10_0.png,Week2_24141,F10
1697,Methotrexate3.0,Methotrexate,Inactive,Week2_24141/Inactive/Methotrexate/FL_Week2_24141_G04_0.png,Week2_24141,G04
1698,Alln3.0,Alln,Inactive,Week2_24141/Inactive/Alln/FL_Week2_24141_D06_0.png,Week2_24141,D06
1699,CytD0.003,CytD,Inactive,Week2_24141/Inactive/CytD/FL_Week2_24141_B10_0.png,Week2_24141,B10
1700,Taxol0.3,Taxol,MT,Week2_24141/MT/Taxol/FL_Week2_24141_F02_0.png,Week2_24141,F02
1701,Vinblastine0.01,Vinblastine,MT,Week2_24141/MT/Vinblastine/FL_Week2_24141_C09_0.png,Week2_24141,C09
1702,Vinblastine0.3,Vinblastine,MT,Week2_24141/MT/Vinblastine/FL_Week2_24141_C06_0.png,Week2_24141,C06
1703,Taxol0.3,Taxol,MT,Week2_24141/MT/Taxol/FL_Week2_24141_G02_0.png,Week2_24141,G02
1704,Taxol0.3,Taxol,MT,Week2_24141/MT/Taxol/FL_Week2_24141_E02_0.png,Week2_24141,E02
1705,Methotrexate0.003,Methotrexate,Inactive,Week2_24141/Inactive/Methotrexate/FL_Week2_24141_G10_0.png,Week2_24141,G10
1706,Rapamycin1.0,Rapamycin,Inactive,Week2_24141/Inactive/Rapamycin/FL_Week2_24141_E05_0.png,Week2_24141,E05
1707,CytD10.0,CytD,Actin,Week2_24141/Actin/CytD/FL_Week2_24141_B03_0.png,Week2_24141,B03
1708,Rapamycin0.01,Rapamycin,mTOR,Week2_24141/mTOR/Rapamycin/FL_Week2_24141_E09_0.png,Week2_24141,E09
1709,Taxol0.3,Taxol,MT,Week2_24141/MT/Taxol/FL_Week2_24141_C11_0.png,Week2_24141,C11
1710,Dmso0.0,Dmso,Inactive,Week2_24141/Inactive/Dmso/FL_Week2_24141_D02_0.png,Week2_24141,D02
1711,Dmso0.0,Dmso,Inactive,Week2_24141/Inactive/Dmso/FL_Week2_24141_C02_0.png,Week2_24141,C02
1712,Dmso0.0,Dmso,Inactive,Week4_27542/Inactive/Dmso/FL_Week4_27542_E11_0.png,Week4_27542,E11
1713,5fluorouracil0.03,5fluorouracil,Inactive,Week4_27542/Inactive/5fluorouracil/FL_Week4_27542_G08_0.png,Week4_27542,G08
1714,Indirubinmonoxime0.1,Indirubinmonoxime,Inactive,Week4_27542/Inactive/Indirubinmonoxime/FL_Week4_27542_F07_0.png,Week4_27542,F07
1715,5fluorouracil1.0,5fluorouracil,Inactive,Week4_27542/Inactive/5fluorouracil/FL_Week4_27542_G05_0.png,Week4_27542,G05
1716,Indirubinmonoxime0.03,Indirubinmonoxime,Inactive,Week4_27542/Inactive/Indirubinmonoxime/FL_Week4_27542_F08_0.png,Week4_27542,F08
1717,Tunicamycin0.15,Tunicamycin,Inactive,Week4_27542/Inactive/Tunicamycin/FL_Week4_27542_E08_0.png,Week4_27542,E08
1718,Indirubinmonoxime1.0,Indirubinmonoxime,Inactive,Week4_27542/Inactive/Indirubinmonoxime/FL_Week4_27542_F05_0.png,Week4_27542,F05
1719,Taxol0.3,Taxol,MT,Week4_27542/MT/Taxol/FL_Week4_27542_D11_0.png,Week4_27542,D11
1720,Anisomycin0.3,Anisomycin,Proteinsynthesis,Week4_27542/Proteinsynthesis/Anisomycin/FL_Week4_27542_B06_0.png,Week4_27542,B06
1721,Olomoucine1.0,Olomoucine,Inactive,Week4_27542/Inactive/Olomoucine/FL_Week4_27542_D05_0.png,Week4_27542,D05
1722,5fluorouracil10.0,5fluorouracil,Inactive,Week4_27542/Inactive/5fluorouracil/FL_Week4_27542_G03_0.png,Week4_27542,G03
1723,Tunicamycin0.5,Tunicamycin,Inactive,Week4_27542/Inactive/Tunicamycin/FL_Week4_27542_E07_0.png,Week4_27542,E07
1724,Ag14780.1,Ag1478,Inactive,Week4_27542/Inactive/Ag1478/FL_Week4_27542_C07_0.png,Week4_27542,C07
1725,Ag14781.0,Ag1478,Inactive,Week4_27542/Inactive/Ag1478/FL_Week4_27542_C05_0.png,Week4_27542,C05
1726,Olomoucine0.1,Olomoucine,Inactive,Week4_27542/Inactive/Olomoucine/FL_Week4_27542_D07_0.png,Week4_27542,D07
1727,Anisomycin0.03,Anisomycin,Inactive,Week4_27542/Inactive/Anisomycin/FL_Week4_27542_B08_0.png,Week4_27542,B08
1728,Tunicamycin15.0,Tunicamycin,ER,Week4_27542/ER/Tunicamycin/FL_Week4_27542_E04_0.png,Week4_27542,E04
1729,5fluorouracil0.3,5fluorouracil,Inactive,Week4_27542/Inactive/5fluorouracil/FL_Week4_27542_G06_0.png,Week4_27542,G06
1730,Tunicamycin0.015,Tunicamycin,Inactive,Week4_27542/Inactive/Tunicamycin/FL_Week4_27542_E10_0.png,Week4_27542,E10
1731,Anisomycin0.1,Anisomycin,Inactive,Week4_27542/Inactive/Anisomycin/FL_Week4_27542_B07_0.png,Week4_27542,B07
1732,Ag147810.0,Ag1478,Inactive,Week4_27542/Inactive/Ag1478/FL_Week4_27542_C03_0.png,Week4_27542,C03
1733,Olomoucine10.0,Olomoucine,Inactive,Week4_27542/Inactive/Olomoucine/FL_Week4_27542_D03_0.png,Week4_27542,D03
1734,Indirubinmonoxime10.0,Indirubinmonoxime,Inactive,Week4_27542/Inactive/Indirubinmonoxime/FL_Week4_27542_F03_0.png,Week4_27542,F03
1735,Olomoucine0.01,Olomoucine,Inactive,Week4_27542/Inactive/Olomoucine/FL_Week4_27542_D09_0.png,Week4_27542,D09
1736,Indirubinmonoxime3.0,Indirubinmonoxime,Inactive,Week4_27542/Inactive/Indirubinmonoxime/FL_Week4_27542_F04_0.png,Week4_27542,F04
1737,Olomoucine3.0,Olomoucine,Inactive,Week4_27542/Inactive/Olomoucine/FL_Week4_27542_D04_0.png,Week4_27542,D04
1738,Anisomycin3.0,Anisomycin,Proteinsynthesis,Week4_27542/Proteinsynthesis/Anisomycin/FL_Week4_27542_B04_0.png,Week4_27542,B04
1739,Olomoucine0.003,Olomoucine,Inactive,Week4_27542/Inactive/Olomoucine/FL_Week4_27542_D10_0.png,Week4_27542,D10
1740,Indirubinmonoxime0.01,Indirubinmonoxime,Inactive,Week4_27542/Inactive/Indirubinmonoxime/FL_Week4_27542_F09_0.png,Week4_27542,F09
1741,Dmso0.0,Dmso,Inactive,Week4_27542/Inactive/Dmso/FL_Week4_27542_F11_0.png,Week4_27542,F11
1742,Anisomycin0.01,Anisomycin,Inactive,Week4_27542/Inactive/Anisomycin/FL_Week4_27542_B09_0.png,Week4_27542,B09
1743,Dmso0.0,Dmso,Inactive,Week4_27542/Inactive/Dmso/FL_Week4_27542_G11_0.png,Week4_27542,G11
1744,Olomoucine0.03,Olomoucine,Inactive,Week4_27542/Inactive/Olomoucine/FL_Week4_27542_D08_0.png,Week4_27542,D08
1745,Anisomycin1.0,Anisomycin,Proteinsynthesis,Week4_27542/Proteinsynthesis/Anisomycin/FL_Week4_27542_B05_0.png,Week4_27542,B05
1746,Ag14780.03,Ag1478,Inactive,Week4_27542/Inactive/Ag1478/FL_Week4_27542_C08_0.png,Week4_27542,C08
1747,Ag14783.0,Ag1478,Inactive,Week4_27542/Inactive/Ag1478/FL_Week4_27542_C04_0.png,Week4_27542,C04
1748,5fluorouracil0.01,5fluorouracil,Inactive,Week4_27542/Inactive/5fluorouracil/FL_Week4_27542_G09_0.png,Week4_27542,G09
1749,Taxol0.3,Taxol,MT,Week4_27542/MT/Taxol/FL_Week4_27542_B11_0.png,Week4_27542,B11
1750,Ag14780.003,Ag1478,Inactive,Week4_27542/Inactive/Ag1478/FL_Week4_27542_C10_0.png,Week4_27542,C10
1751,5fluorouracil0.1,5fluorouracil,Inactive,Week4_27542/Inactive/5fluorouracil/FL_Week4_27542_G07_0.png,Week4_27542,G07
1752,Dmso0.0,Dmso,Inactive,Week4_27542/Inactive/Dmso/FL_Week4_27542_B02_0.png,Week4_27542,B02
1753,Tunicamycin1.5,Tunicamycin,Inactive,Week4_27542/Inactive/Tunicamycin/FL_Week4_27542_E06_0.png,Week4_27542,E06
1754,Indirubinmonoxime0.3,Indirubinmonoxime,Inactive,Week4_27542/Inactive/Indirubinmonoxime/FL_Week4_27542_F06_0.png,Week4_27542,F06
1755,Indirubinmonoxime0.003,Indirubinmonoxime,Inactive,Week4_27542/Inactive/Indirubinmonoxime/FL_Week4_27542_F10_0.png,Week4_27542,F10
1756,5fluorouracil3.0,5fluorouracil,Inactive,Week4_27542/Inactive/5fluorouracil/FL_Week4_27542_G04_0.png,Week4_27542,G04
1757,Olomoucine0.3,Olomoucine,Inactive,Week4_27542/Inactive/Olomoucine/FL_Week4_27542_D06_0.png,Week4_27542,D06
1758,Anisomycin0.003,Anisomycin,Inactive,Week4_27542/Inactive/Anisomycin/FL_Week4_27542_B10_0.png,Week4_27542,B10
1759,Taxol0.3,Taxol,MT,Week4_27542/MT/Taxol/FL_Week4_27542_F02_0.png,Week4_27542,F02
1760,Ag14780.01,Ag1478,Inactive,Week4_27542/Inactive/Ag1478/FL_Week4_27542_C09_0.png,Week4_27542,C09
1761,Ag14780.3,Ag1478,Inactive,Week4_27542/Inactive/Ag1478/FL_Week4_27542_C06_0.png,Week4_27542,C06
1762,Taxol0.3,Taxol,MT,Week4_27542/MT/Taxol/FL_Week4_27542_G02_0.png,Week4_27542,G02
1763,Taxol0.3,Taxol,MT,Week4_27542/MT/Taxol/FL_Week4_27542_E02_0.png,Week4_27542,E02
1764,5fluorouracil0.003,5fluorouracil,Inactive,Week4_27542/Inactive/5fluorouracil/FL_Week4_27542_G10_0.png,Week4_27542,G10
1765,Tunicamycin5.0,Tunicamycin,ER,Week4_27542/ER/Tunicamycin/FL_Week4_27542_E05_0.png,Week4_27542,E05
1766,Anisomycin10.0,Anisomycin,Proteinsynthesis,Week4_27542/Proteinsynthesis/Anisomycin/FL_Week4_27542_B03_0.png,Week4_27542,B03
1767,Tunicamycin0.05,Tunicamycin,Inactive,Week4_27542/Inactive/Tunicamycin/FL_Week4_27542_E09_0.png,Week4_27542,E09
1768,Taxol0.3,Taxol,MT,Week4_27542/MT/Taxol/FL_Week4_27542_C11_0.png,Week4_27542,C11
